_id,kabupaten
3301,Kab. Cilacap
3302,Kab. Banyumas
3303,Kab. Purbalingga
3304,Kab. Banjarnegara
3305,Kab. Kebumen
3306,Kab. Purworejo
3307,Kab. Wonosobo
3308,Kab. Magelang
3309,Kab. Boyolali
3310,Kab. Klaten
3311,Kab. Sukoharjo
3312,Kab. Wonogiri
3313,Kab. Karanganyar
3314,Kab. Sragen
3315,Kab. Grobogan
3316,Kab. Blora
3317,Kab. Rembang
3318,Kab. Pati
3319,Kab. Kudus
3320,Kab. Jepara
3321,Kab. Demak
3322,Kab. Semarang
3323,Kab. Temanggung
3324,Kab. Kendal
3325,Kab. Batang
3326,Kab. Pekalongan
3327,Kab. Pemalang
3328,Kab. Tegal
3329,Kab. Brebes
3371,Kota Magelang
3372,Kota Surakarta
3373,Kota Salatiga
3374,Kota Semarang
3375,Kota Pekalongan
3376,Kota Tegal
